site_numeric,site,longitude_reported,latitude_reported,longitude_snapped,latitude_snapped,distance_snapped,catchment_area_reported,river_width,catchment_area_snapped,catchment_area_h90m,order_orig_coords,order_snapped_coords,slope_channel,elevation_m
42,Rocky Creek Drought Riffles,153.354995,-28.607613,153.3554167,-28.60708333,71.93578932,11.4,12,11.23155212,8.20994091,3,3,0.140999,275
43,RSC1,152.97575,-28.56603,152.9745833,-28.56708333,163.5827231,NA,14,734.3220825,734.1185913,6,6,0,69
44,Toboao,-53.735814,-28.444694,-53.73541667,-28.44375,112.0514487,75.9,8,76.58104706,0.015455063,NA,5,0,351
45,Turcato,-53.6834,-28.440404,-53.68291667,-28.44208333,192.836195,19.5,8,60.65827179,0.012667235,NA,5,0,379
49,Medium urban (2),-48.450243,-27.467878,-48.45041667,-27.46625,182.0380991,NA,8,7.649758816,7.355039597,4,4,0,7
59,Bico - R2P1,-44.166144,-23.141591,-44.16708333,-23.14208333,110.6750664,NA,5,1.540265441,-2.010908842,3,2,0.038489,6
62,Bairro da Ponte,-46.836,-22.9819,-46.83625,-22.98041667,167.0998122,NA,18,2043.887207,0.010616316,NA,7,0,725
63,Morungaba,-46.9563,-22.9111,-46.95791667,-22.91041667,182.3893453,NA,18,2182.754639,0.060840219,NA,7,0,650
64,Desembargador Furtado,-46.8586,-22.8351,-46.85958333,-22.83458333,116.1283784,NA,13,2041.72644,0.012115189,NA,7,0,710
74,SUG2,-47.857853,-21.940851,-47.85791667,-21.93958333,141.2690539,1.23,5,1.372586846,0.043483943,NA,2,0.076825,791
76,Borges2015_1237,47.34111,-19.2945,47.34125,-19.29458333,17.39026727,NA,7.25,30.45553589,30.45553589,4,4,0,1641
79,Borges2015_1231,47.791563,-19.020337,47.79125,-19.01958333,90.13285822,NA,20,131.843689,0.012971738,NA,6,0,1351
81,Borges2015_1238,47.12425,-19.00397,47.12458333,-19.00291667,122.3927772,NA,18.5,210.7221527,182.5027313,2,5,0,1300
84,Borges2015_1283,48.61189,-18.98364,48.61291667,-18.98458333,150.6880705,NA,13,61.50075531,61.44061661,5,5,0,443
86,Borges2015_1272,48.85289,-18.96092,48.85291667,-18.96208333,129.5321017,NA,18,130.5842133,62.49589157,4,4,0,41
87,Borges2015_1284,47.883929,-18.953208,47.88458333,-18.95208333,142.8998478,NA,5,96.10338593,16.09083176,1,5,0,1379
88,Borges2015_1268,48.416,-18.93975,48.41625,-18.93875,114.3894344,NA,7.5,64.24717712,61.18312836,5,5,0,929
90,Borges2015_1285,47.91822,-18.911615,47.91958333,-18.91125,149.21207,NA,10,145.9654999,142.0714874,5,5,0,1211
91,Borges2015_1271,48.42775,-18.90317,48.42875,-18.90458333,189.3265121,NA,16,44.32217026,0.029286146,NA,4,0.00776,930
94,Borges2015_1288,48.06264,-18.86447,48.06375,-18.86375,141.7607996,NA,15,355.7863159,0.026702497,NA,6,0,880
